pubchem_id,common_name,flavor_profile,foodb_matched,foodb_food_id,macronutrients_json,moisture_content
22201,"2,3-Dimethylpyrazine",butter@caramel@nut@peanut butter@meat@leather@coffee@cocoa@peanut@nutty@almond@walnut,True,175.0,{},
31252,"2,5-Dimethylpyrazine",roast beef@roasted nuts@grass@medical@cocoa@woody@medicine@roasted nut@medicinal,True,175.0,{},
26331,2-Ethylpyrazine,butter@peanut@musty@cocoa@nutty@wood@roasted@woody@bitter@peanut butter,True,175.0,{},
27457,2-Ethyl-3-Methylpyrazine,raw@hazelnut@roast@sweat@potato@bread@musty@earthy@peanut@nutty@corn,True,175.0,{},
7976,2-Methylpyrazine,chocolate@roasted@cocoa@peanut@nutty@popcorn@green,True,175.0,{},
26808,"2,3,5-Trimethylpyrazine",hazelnut@roast@roasted@powdery@potato@must@musty@earthy@cocoa@peanut@nutty,True,175.0,{},
323,coumarin,sweet@new mown hay@green@tonka@bitter,True,66.0,{},
7150,Methyl Benzoate,prune@cananga@floral@wintergreen@lettuce@sweet@almond@herb@phenolic,True,66.0,{},
11509,3-Hexanone,ether@waxy@grape@sweet@rum@fruity,True,66.0,{},
637566,Geraniol,citrus@rose@waxy@floral@sweet@fruity@geranium,True,66.0,{},
439341,alpha-Maltose,odorless@sweet,True,66.0,{},
33931,2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone,butterscotch@caramel@sweet@candy,True,66.0,{},
9261,Pyrazine,hazelnut@roasted@barley@sweet corn@pungent,True,21.0,{},
6072,Phlorizin,bitter,True,66.0,{},
12587,4-Methylpentanoic Acid,pungent@cheese,True,175.0,{},
878,methanethiol,sulfur@garlic@gasoline@decomposing cabbage,True,66.0,{},
5281708,daidzein,bitter,True,66.0,{},
240,benzaldehyde,cherry@almond@sweet@burnt sugar@sharp@strong@bitter,True,66.0,{},
244,benzyl alcohol,berry@balsamic@rose@floral@walnut@sweet@cherry@phenolic@flower@grapefruit,True,66.0,{},
441484,alpha-L-Sorbopyranose,sweet@bitter,True,66.0,{},
1889,DL-Liquiritigenin,bitter,True,66.0,{},
4788,phloretin,odorless@bitter,True,66.0,{},
6184,Hexanal,leafy@grass@sweaty@tallow@fat@fresh@fatty@fruity@aldehydic@green,True,66.0,{},
11128,Linamarin,bitter,True,66.0,{},
8723,2-Methyl-1-Butanol,roasted@onion@malt@wine@fruity,True,66.0,{},
12756,gamma-Caprolactone,coconut@tobacco@coumarin@herbal@sweet,True,175.0,{},
8094,Heptanoic Acid,sour@cheesy@sweat@rancid@cheese,True,66.0,{},
338,salicylic acid,nutty@faint@phenolic,True,66.0,{},
11005,Tetradecanoic acid,fatty@soapy@waxy@coconut,True,406.0,{},
1183,vanillin,vanilla@chocolate@sweet@creamy,True,66.0,{},
12232,Dimethyl disulfide,citrus@cabbage@sulfurous@putrid@wine_like@onion@vegetable@fatty@floral@earthy@woody@fruity@herbaceous@nutty@meaty@spicy@green,True,562.0,{},
